feature,psi,status,mean_train,mean_new,alert
months_since_last_supervision,0.0152,GREEN,11.2748,11.2578,False
chw_supervision_frequency,0.0097,GREEN,4.2725,4.273,False
monthly_homevisit_rate,0.0061,GREEN,484.4622,478.3373,False
months_since_reported,0.0059,GREEN,12.9076,12.9152,False
patient_age_in_months,0.0051,GREEN,28.4136,29.3985,False
vax_received_total,0.0041,GREEN,10.2184,10.0592,False
vax_completeness_all,0.0037,GREEN,0.5584,0.544,False
chw_workload_u2,0.0034,GREEN,34.7914,34.5645,False
vax_received_core,0.0025,GREEN,9.8416,9.7078,False
vitamin_a_completeness,0.0022,GREEN,0.5874,0.5617,False
chw_immunization_competency_pct,0.0007,GREEN,0.9582,0.9627,False
vax_completeness_score,0.0007,GREEN,0.6254,0.6117,False
sub_county_encoded,0.0002,GREEN,4.1043,4.1015,False
due_count_clean,0.0,GREEN,0.1055,0.0742,False
